Rank	Hole Cards	Overall	WinHi %	TieHi %	WinLo %	TieLo %	Occur %	Cumul %
65	Ax Qx 3- 2-	24.1332	9.55	1.8451	24.2769	19.7604	0.0088	0.3781
66	Ax J- 3x 2-	24.1249	9.3803	1.7947	24.2555	19.7344	0.0088	0.387
67	Ax 3- 2x 2-	24.0808	9.532	0.4304	28.0091	14.9644	0.0088	0.3959
68	Ax 3x 2- 2-	24.0465	9.4161	0.435	28.1215	14.9977	0.0044	0.4003
69	Ax T- 3x 2-	24.0033	9.2375	1.7414	24.2669	19.6947	0.0088	0.4092
70	Ax Jx 3- 2-	23.9969	9.4113	1.783	24.2568	19.7626	0.0088	0.418
71	Ax 5x 3x 2-	23.9955	8.1246	1.68	26.5911	20.942	0.0044	0.4225
72	Ax T- 3- 2x	23.977	9.1747	1.7814	24.2756	19.8306	0.0088	0.4313
73	Ax 5- 3x 2x	23.9593	8.0264	1.6887	26.637	20.9153	0.0044	0.4358
74	Ax Kx Ky 2y	23.9401	18.5586	0.867	13.9409	12.168	0.0044	0.4402
75	Ax 5x 3- 2x	23.8927	8.0213	1.7026	26.5527	20.9082	0.0044	0.4446
76	Ax Ay 7x 2y	23.8895	18.8897	0.1905	17.3684	9.3394	0.0044	0.4491
77	Ax Tx 3- 2-	23.8613	9.268	1.7321	24.2631	19.7521	0.0088	0.4579
78	Ax Qy 4y 2x	23.8269	12.35	1.9778	20.9799	17.2493	0.0044	0.4624
79	Ax Qy 4x 2y	23.8164	12.3011	1.9545	21.0721	17.222	0.0044	0.4668
80	Ax 9y 3y 2x	23.7912	9.7575	0.9263	24.2729	19.8134	0.0044	0.4713
81	Ax 3x 3- 2-	23.7798	9.6538	0.4804	26.458	16.6581	0.0088	0.4801
82	Ax K- 3x 2x	23.7673	8.64	1.8913	24.2654	19.7323	0.0044	0.4846
83	Ax 3- 3- 2x	23.736	9.5187	0.4895	26.5624	16.6153	0.0044	0.489
84	Ax 9y 3x 2y	23.7343	9.7369	0.8928	24.2914	19.7682	0.0044	0.4934
85	Ax Kx 3x 2-	23.7141	8.6806	1.915	24.3783	19.7151	0.0044	0.4979
86	Ax Ay 6x 3y	23.7097	19.3643	0.6761	16.477	8.8655	0.0044	0.5023
87	Ax A- 5x 2x	23.6902	13.8091	0.6246	22.5146	11.835	0.0044	0.5067
88	Ax Q- 3x 2x	23.6279	8.475	1.797	24.2862	19.7161	0.0044	0.5112
